总序号,性别,年龄,职业,学历,收入,玩家游戏情况,游戏进入,游戏偏好
7852,1,5,4,5,2,4,4,4
7853,NA,5,6,5,1,4,5,6
7854,1,1,4,3,4,2,2,5
7855,1,2,1,3,3,3,1,5
7856,2,1,1,2,1,2,3,4
7857,2,1,1,2,1,2,3,2
7858,1,2,5,3,5,2,3,1
7859,1,1,1,1,1,2,2,2
7860,2,2,5,2,3,3,5,4
7861,1,1,1,1,3,4,3,4
7862,2,5,1,1,1,2,1,5
7863,2,3,6,1,1,4,2,3
7864,2,2,4,4,3,1,3,3
7865,1,1,1,2,1,4,4,6
7866,2,2,1,4,1,4,3,3
7867,2,1,1,1,1,1,3,4
7868,2,1,1,5,5,2,5,6
7869,1,2,2,5,5,3,5,5
7870,NA,2,1,3,1,4,1,3
7871,1,1,1,3,1,4,1,5
7872,2,2,7,3,4,4,5,6
7873,1,1,1,2,1,2,2,1
7874,2,1,1,1,1,4,3,2
7875,1,2,1,2,1,2,5,6
7876,1,2,1,1,1,1,2,1
7877,1,2,1,5,1,2,3,1
7878,1,1,1,1,5,4,2,3
7879,1,2,1,3,1,2,2,3
7880,2,1,1,1,1,4,3,4
7881,1,1,1,5,5,4,2,2
7882,1,NA,5,1,1,4,3,5
7883,2,2,5,2,3,1,3,3
7884,1,1,1,1,1,2,3,2
7885,1,1,1,2,1,2,2,2
7886,1,1,1,1,1,4,1,3
7887,2,2,1,2,NA,1,1,1
7888,1,1,1,1,5,2,2,5
7889,2,3,6,5,4,4,3,5
7890,2,1,1,1,1,2,5,2
7891,2,1,1,1,1,4,5,3
7892,1,NA,1,1,1,4,4,5
7893,1,2,2,3,NA,4,5,1
7894,1,1,1,2,5,2,1,1
7895,1,1,1,1,1,4,1,1
7896,1,2,1,5,5,1,5,6
7897,1,3,4,5,3,2,3,2
7898,NA,1,1,2,1,2,1,5
7899,2,1,1,2,1,3,1,5
7900,2,2,1,4,1,2,5,3
7901,1,2,7,3,1,2,2,4
7902,1,1,6,1,1,2,5,3
7903,2,NA,5,3,3,2,1,2
7904,1,1,1,2,1,4,3,5
7905,2,1,1,2,1,4,3,3
7906,1,1,1,1,1,2,1,5
7907,1,3,3,4,4,3,3,6
7908,1,1,1,1,1,4,2,5
7909,1,5,2,3,3,2,3,4
7910,1,1,1,1,NA,2,2,2
7911,2,2,1,3,1,2,3,2
7912,2,1,1,2,1,1,1,6
7913,2,1,1,1,1,4,5,3
7914,1,1,1,1,1,4,3,4
7915,1,2,2,3,4,3,2,3
7916,2,NA,1,1,3,2,1,1
7917,2,1,1,5,5,3,5,3
7918,1,1,1,2,1,4,4,3
7919,1,3,3,1,3,3,3,5
7920,1,4,3,4,1,2,3,2
7921,1,1,1,2,1,2,2,5
7922,2,5,4,5,4,2,1,2
7923,1,1,1,1,5,1,2,4
7924,1,1,1,1,1,4,5,3
7925,1,1,1,1,1,4,3,2
7926,1,1,1,2,1,4,2,3
7927,1,1,1,1,1,4,3,3
7928,NA,5,6,5,1,4,5,6
7929,1,1,1,2,1,3,1,3
7930,NA,1,1,1,1,2,5,2
7931,1,4,2,5,4,2,3,1
7932,1,1,1,1,1,2,3,2
7933,1,1,1,1,1,4,5,3
7934,1,1,1,1,1,2,2,1
7935,1,2,1,4,1,1,2,1
7936,1,2,2,3,3,4,5,4
7937,1,2,2,4,3,4,3,5
7938,1,1,1,2,1,4,2,5
7939,1,NA,1,4,3,2,2,2
7940,1,3,1,5,1,3,4,3
7941,1,4,3,5,4,2,3,2
7942,1,1,1,1,1,2,5,5
7943,1,4,2,4,NA,2,1,3
7944,1,2,1,4,5,2,3,2
7945,1,1,1,2,1,2,1,3
7946,1,1,1,3,1,3,3,2
7947,1,1,1,1,1,2,2,1
7948,2,1,1,2,1,2,1,3
7949,1,2,1,5,1,4,3,5
7950,1,2,7,3,3,2,3,2
7951,2,1,1,3,NA,3,5,6
7952,1,5,7,5,5,2,5,3
7953,1,1,1,2,1,1,2,1
7954,1,1,1,1,5,2,3,1
7955,2,1,1,2,4,4,1,5
7956,1,1,1,2,1,4,3,5
7957,1,1,1,1,1,2,2,2
7958,1,3,4,5,4,4,3,3
7959,2,NA,1,3,1,3,1,3
7960,1,1,1,1,1,4,3,5
7961,1,2,2,3,3,2,1,1
7962,1,1,1,1,1,1,2,1
7963,1,1,1,1,1,2,2,5
7964,2,1,1,2,1,3,3,6
7965,2,2,7,5,4,1,4,4
7966,2,1,1,1,1,1,4,3
7967,1,4,7,4,3,1,5,6
7968,1,1,1,1,2,3,2,5
7969,1,1,1,2,5,4,1,2
7970,2,1,1,1,1,2,3,3
7971,2,2,2,2,2,4,1,3
7972,1,1,1,2,1,2,4,1
7973,1,1,1,2,2,4,3,5
7974,NA,4,2,5,3,3,3,3
7975,2,1,1,1,1,1,5,2
7976,1,1,1,2,1,3,2,1
7977,2,1,1,1,1,4,3,3
7978,1,1,6,2,1,2,5,5
7979,2,2,1,4,1,1,1,5
7980,1,1,6,3,2,4,2,5
7981,2,3,2,2,NA,2,3,3
7982,2,1,1,1,1,3,5,5
7983,2,2,1,5,1,4,5,6
7984,2,4,2,2,3,4,3,4
7985,1,1,7,5,5,3,5,6
7986,2,2,1,3,1,3,1,3
7987,1,1,1,2,1,2,5,2
7988,2,4,3,2,3,2,4,5
7989,NA,4,2,5,5,4,1,1
7990,2,1,1,1,1,1,1,2
7991,1,1,1,2,1,3,3,5
7992,1,1,1,2,1,2,3,5
7993,1,4,2,2,3,4,2,5
7994,1,1,1,1,1,4,5,6
7995,1,1,1,2,1,2,2,5
7996,2,2,1,3,1,3,1,3
7997,1,4,2,3,4,4,4,3
7998,2,3,5,2,3,2,3,2
7999,1,1,1,1,5,3,2,5
8000,1,1,1,1,1,4,5,5
8001,2,4,4,5,3,1,1,3
8002,1,1,1,2,1,2,2,3
8003,1,1,1,1,1,2,2,5
8004,NA,2,5,3,2,2,3,3
8005,1,1,1,2,1,2,2,1
8006,2,1,1,1,1,4,3,5
8007,1,2,7,4,1,2,2,3
8008,1,2,1,3,1,4,3,5
8009,NA,NA,1,4,4,2,4,1
8010,2,3,2,4,3,2,3,2
8011,1,5,6,1,1,2,3,1
8012,1,1,1,1,NA,4,2,4
8013,2,2,1,3,1,3,1,5
8014,1,1,1,1,2,1,5,2
8015,2,1,1,1,1,1,3,3
8016,1,3,1,4,1,4,3,3
8017,1,2,7,2,3,4,3,3
8018,1,1,1,1,1,3,5,4
8019,1,2,1,4,1,2,3,4
8020,2,2,1,3,1,1,1,5
8021,1,4,3,4,3,2,3,3
8022,1,1,1,1,1,2,5,5
8023,2,1,1,1,1,2,1,4
8024,1,2,1,4,1,4,2,5
8025,2,3,7,5,5,4,3,6
8026,2,NA,1,2,1,1,4,5
8027,2,1,1,2,1,3,1,6
8028,2,1,1,1,1,4,3,3
8029,1,1,1,1,1,3,5,4
8030,1,1,1,1,1,2,3,3
8031,1,2,1,3,2,1,1,2
8032,1,5,4,5,5,2,1,4
8033,1,1,1,1,1,1,5,5
8034,2,2,1,4,1,4,1,1
8035,1,1,1,1,1,4,1,1
8036,NA,3,3,3,1,4,3,4
8037,1,2,1,4,1,2,3,1
8038,2,2,1,5,1,4,3,1
8039,1,3,2,3,3,2,3,1
8040,NA,1,1,1,1,3,5,5
8041,1,2,1,3,1,2,3,2
8042,2,1,1,2,1,4,3,2
8043,1,1,1,1,1,2,2,2
8044,1,2,1,3,1,2,2,3
8045,2,2,1,4,1,4,1,5
8046,1,5,2,3,4,2,2,5
8047,1,1,1,1,2,4,5,5
8048,1,3,7,4,3,2,3,1
8049,2,2,2,2,2,2,2,2
8050,1,1,1,1,1,2,5,5
8051,1,1,1,2,1,2,5,3
8052,2,2,1,3,1,4,5,1
8053,2,2,1,5,1,2,1,2
8054,1,1,1,1,1,4,2,5
8055,1,1,1,1,1,3,2,2
8056,1,2,7,3,3,3,1,1
8057,2,1,1,1,1,2,3,3
8058,1,2,1,3,NA,2,3,3
8059,1,1,1,1,1,2,2,1
8060,1,2,1,4,1,2,3,2
8061,1,3,5,4,3,3,3,2
8062,1,1,1,1,1,2,2,1
8063,1,NA,1,2,1,2,2,1
8064,2,2,1,3,1,2,1,2
8065,1,3,5,3,1,1,3,5
8066,1,1,7,4,NA,2,5,1
8067,2,1,1,1,1,4,4,5
8068,1,2,1,2,1,2,2,3
8069,NA,4,3,2,2,2,1,1
8070,1,4,2,3,5,3,3,2
8071,1,1,1,1,3,3,3,5
8072,1,5,4,5,4,2,2,5
8073,2,1,1,1,1,1,1,1
8074,1,1,1,1,1,4,1,5
8075,1,NA,1,3,1,4,3,1
8076,1,4,3,2,5,2,4,3
8077,2,2,1,3,1,4,5,6
8078,1,1,1,1,1,4,3,5
8079,2,1,1,1,1,2,3,3
8080,2,1,1,1,1,4,1,3
8081,NA,1,1,1,1,4,1,3
8082,1,1,1,2,1,3,5,3
8083,1,1,7,2,3,2,2,2
8084,1,1,1,1,5,2,4,5
8085,2,1,5,5,5,2,1,3
8086,1,NA,7,3,1,1,4,6
8087,NA,1,1,1,NA,3,1,2
8088,2,1,1,1,1,2,3,4
8089,1,NA,1,1,NA,2,2,1
8090,1,1,1,1,1,1,2,1
8091,2,1,1,5,3,4,3,3
8092,2,1,1,1,1,4,5,3
8093,NA,1,1,1,1,2,3,5
8094,1,2,6,3,1,4,3,6
8095,2,1,1,1,1,2,1,1
8096,1,1,1,3,2,2,3,1
8097,1,2,7,4,3,4,2,3
8098,NA,2,1,4,1,4,3,5
8099,1,2,1,3,1,4,5,5
8100,2,1,1,1,1,4,5,6
8101,NA,1,1,2,1,4,3,3
8102,1,NA,3,5,5,3,3,2
8103,2,1,1,3,1,3,1,6
8104,1,1,1,1,5,2,3,1
8105,NA,2,4,5,5,3,3,1
8106,2,1,1,2,1,4,1,3
8107,1,3,4,5,4,4,2,3
8108,1,1,7,2,1,4,3,4
8109,2,1,1,2,1,1,1,4
8110,1,1,1,1,1,2,5,3
8111,1,4,2,5,5,3,2,2
8112,1,1,1,2,2,2,5,1
8113,1,4,7,4,3,3,3,3
8114,2,NA,1,5,3,4,1,3
8115,1,4,6,2,2,4,3,6
8116,2,1,1,2,1,2,4,5
8117,2,1,1,1,1,1,1,5
8118,1,1,1,1,1,1,2,5
8119,1,1,1,1,1,1,2,2
8120,1,3,4,5,5,2,1,3
8121,2,1,1,1,1,4,5,5
8122,1,4,5,4,3,4,1,1
8123,2,1,1,2,1,4,1,3
8124,1,1,1,1,1,2,3,5
8125,2,1,1,2,1,2,1,1
8126,1,4,6,2,1,4,3,5
8127,1,1,6,5,1,3,3,4
8128,NA,NA,1,5,2,2,5,1
8129,1,1,1,4,1,1,3,2
8130,1,1,1,1,1,3,2,5
8131,1,1,1,2,1,4,5,4
8132,2,1,1,2,1,3,3,3
8133,1,2,5,4,3,4,3,6
8134,1,2,1,5,1,3,2,3
8135,1,1,1,2,NA,2,2,5
8136,2,4,6,2,1,4,1,2
8137,1,1,6,1,1,2,1,3
8138,NA,2,5,2,2,3,3,3
8139,1,3,2,1,2,4,2,1
8140,1,1,1,1,1,3,5,2
8141,1,1,1,1,1,2,2,2
8142,1,1,1,1,1,1,1,2
8143,1,3,5,3,4,4,3,3
8144,1,1,1,1,1,2,1,2
8145,2,1,1,2,1,1,3,5
8146,1,1,1,1,2,4,4,5
8147,1,1,1,1,1,4,1,2
8148,2,1,1,2,1,3,1,3
8149,1,3,7,2,3,1,3,5
8150,1,1,1,1,1,2,4,5
8151,2,1,1,1,1,3,1,2
8152,2,1,1,2,1,3,3,1
8153,1,3,7,4,NA,2,2,2
8154,2,4,6,5,5,3,3,3
8155,1,4,2,5,3,4,5,3
8156,1,1,7,1,1,3,1,5
8157,NA,4,4,5,4,4,3,1
8158,2,1,1,2,1,4,5,3
8159,1,4,4,5,3,2,3,2
8160,2,3,4,4,4,1,3,5
8161,1,5,7,1,1,2,5,6
8162,1,1,1,2,1,2,5,6
8163,1,2,2,2,3,1,2,3
8164,1,NA,2,4,3,3,3,5
8165,1,2,7,4,2,4,2,5
8166,1,3,2,4,2,2,2,3
8167,2,1,1,4,1,3,3,3
8168,2,1,1,3,1,4,3,2
8169,NA,2,2,2,NA,1,4,2
8170,2,NA,1,1,1,4,3,5
8171,1,1,1,1,1,2,5,5
8172,NA,1,1,2,1,3,1,3
8173,1,1,1,3,1,3,2,4
8174,1,1,4,5,1,3,5,6
8175,NA,1,1,2,1,4,5,1
8176,1,2,1,5,3,2,3,1
8177,1,1,1,1,NA,2,2,2
8178,2,NA,7,5,5,1,3,2
8179,2,1,1,1,1,4,1,5
8180,1,1,1,1,5,3,5,3
8181,1,2,3,4,3,2,2,4
8182,1,1,1,2,1,4,1,1
8183,1,3,7,3,4,2,3,5
8184,2,2,5,2,2,4,1,5
8185,2,3,2,2,3,1,3,2
8186,2,1,1,1,1,2,1,3
8187,2,2,6,3,3,3,3,5
8188,1,1,1,1,1,4,4,5
8189,1,2,1,2,1,1,4,6
8190,1,1,1,2,1,2,4,1
8191,1,1,1,2,1,4,1,6
8192,NA,1,1,1,1,2,3,5
8193,1,1,1,2,1,4,3,4
8194,1,1,1,1,1,1,2,1
8195,1,1,1,1,1,1,3,1
8196,2,3,2,5,3,4,1,2
8197,1,1,1,2,NA,4,3,2
8198,1,1,1,2,1,4,3,6
8199,2,1,1,1,NA,1,1,2
8200,2,1,1,2,1,4,1,3
8201,1,1,1,1,1,4,2,5
8202,2,1,1,1,1,4,5,1
8203,2,2,5,2,1,3,1,6
8204,1,1,1,1,1,4,4,4
8205,1,2,1,4,1,4,3,3
8206,1,3,7,2,4,1,5,4
8207,NA,4,2,5,3,4,3,2
8208,2,2,4,5,3,2,3,4
8209,NA,4,2,4,4,4,1,5
8210,2,1,1,1,1,3,3,1
8211,2,1,1,1,2,3,1,2
8212,1,3,7,1,5,4,5,6
8213,2,2,1,3,1,4,5,6
8214,1,1,1,2,1,2,4,2
8215,1,3,2,5,4,4,3,3
8216,2,1,1,2,1,4,5,2
8217,1,1,1,1,2,2,4,1
8218,2,2,1,3,1,3,5,6
8219,2,1,1,1,5,1,3,2
8220,NA,1,1,1,1,3,1,2
8221,2,1,1,1,NA,4,4,4
8222,1,1,1,2,NA,4,5,5
8223,2,1,1,3,1,2,1,3
8224,1,1,1,2,1,4,2,3
8225,2,3,2,5,5,1,1,3
8226,1,1,1,1,5,2,4,3
8227,NA,1,1,1,1,3,5,2
8228,2,1,7,1,1,4,1,1
8229,1,2,1,3,1,4,1,4
8230,2,1,1,2,1,4,1,3
8231,1,1,1,1,2,2,5,1
8232,1,1,6,1,1,2,4,3
8233,1,1,7,1,5,3,4,3
8234,2,1,1,1,1,1,3,1
8235,2,1,1,1,1,2,5,6
8236,1,5,7,5,5,2,5,3
8237,2,1,1,2,2,4,4,4
8238,1,NA,1,3,1,2,3,5
8239,1,1,1,5,1,1,5,5
8240,1,1,7,4,5,2,5,6
8241,1,1,1,1,1,4,2,5
8242,1,5,6,3,1,2,5,1
8243,2,3,6,2,2,2,3,2
8244,1,1,2,1,1,3,2,5
8245,1,2,1,3,1,2,3,5
8246,2,1,1,1,1,4,1,3
8247,2,NA,6,4,1,1,1,3
8248,2,3,3,4,3,4,3,3
8249,1,4,2,3,4,4,2,3
8250,1,1,1,2,5,2,1,1
8251,2,2,1,4,1,4,3,4
8252,1,1,1,1,1,4,5,5
8253,2,2,2,2,3,2,1,3
8254,1,1,1,3,1,3,2,3
8255,1,1,7,3,3,4,5,5
8256,2,1,1,2,1,4,1,4
8257,1,3,3,5,4,2,2,2
8258,1,3,2,5,3,3,2,3
8259,2,1,1,1,1,4,5,2
8260,1,1,1,3,1,2,2,3
8261,1,1,1,1,1,2,2,1
8262,1,1,1,2,1,2,3,6
8263,2,1,1,2,1,4,3,2
8264,1,1,1,2,1,4,3,6
8265,2,NA,1,1,1,3,5,5
8266,1,1,1,1,1,1,5,5
8267,2,2,1,3,NA,1,3,1
8268,2,1,1,1,1,1,1,5
8269,2,3,4,5,5,3,4,3
8270,2,1,1,2,1,2,3,3
8271,2,1,1,2,1,4,3,3
8272,2,1,1,1,1,1,1,5
8273,1,1,1,2,1,2,3,3
8274,1,2,2,2,3,4,2,5
8275,1,2,1,3,1,3,2,1
8276,1,1,1,2,1,2,3,5
8277,2,1,1,1,1,4,5,6
8278,1,1,1,1,3,2,3,1
8279,1,1,1,1,1,2,2,1
8280,1,3,3,3,3,3,3,3
8281,2,1,1,1,1,4,3,4
8282,1,4,2,5,5,2,3,1
8283,1,1,1,2,NA,2,2,5
8284,1,5,7,5,1,3,5,6
8285,1,1,1,1,2,4,1,3
8286,2,1,1,2,1,4,1,4
8287,1,1,1,1,1,4,3,5
8288,1,3,5,3,1,2,3,5
8289,1,2,1,3,1,2,2,1
8290,1,1,1,1,1,2,4,5
8291,1,1,1,1,1,2,2,1
8292,2,2,1,5,5,4,3,5
8293,NA,2,7,4,2,2,5,5
8294,2,2,1,5,NA,2,1,3
8295,1,2,2,2,3,3,3,3
8296,1,1,1,1,1,2,4,3
8297,1,4,7,5,NA,2,3,2
8298,1,1,7,1,2,4,4,3
8299,2,2,1,3,1,4,3,3
8300,NA,1,1,1,1,4,1,2
8301,1,2,1,3,1,2,3,5
8302,1,1,1,1,1,2,1,1
8303,1,1,1,1,1,4,3,3
8304,1,1,1,1,1,2,2,2
8305,1,1,1,4,1,2,4,5
8306,1,1,1,1,1,4,1,3
8307,1,3,3,1,4,2,3,2
8308,2,1,1,2,1,4,1,3
8309,2,1,1,2,1,3,3,3
8310,1,1,1,1,NA,2,4,1
8311,1,2,1,3,1,3,5,3
8312,2,1,1,1,1,1,5,2
8313,1,5,2,3,3,2,4,3
8314,1,1,1,3,4,1,2,3
8315,1,2,1,4,NA,2,1,5
8316,2,2,1,3,1,4,3,5
8317,2,1,1,2,1,1,3,1
8318,1,2,1,1,1,1,5,5
8319,2,3,6,2,2,2,3,2
8320,1,3,6,4,3,1,2,2
8321,NA,1,1,2,NA,4,3,2
8322,1,1,1,1,1,4,5,5
8323,1,3,7,3,5,4,2,3
8324,1,1,1,2,1,4,5,6
8325,1,1,1,1,1,4,1,3
8326,NA,NA,5,1,1,1,3,3
8327,NA,4,5,2,2,3,3,2
8328,2,1,1,1,1,1,1,2
8329,1,2,1,4,1,1,2,2
8330,1,2,2,3,4,4,2,5
8331,1,2,1,3,1,4,1,5
8332,2,1,1,3,5,1,4,1
8333,1,1,1,2,1,4,5,6
8334,NA,1,1,2,1,4,1,5
8335,2,1,1,1,1,3,4,3
8336,1,1,1,2,1,2,3,4
8337,1,2,2,3,4,4,1,6
8338,NA,5,5,5,4,4,3,6
8339,1,1,1,1,1,2,2,1
8340,2,1,1,2,1,3,3,5
8341,1,1,1,2,1,1,3,3
8342,1,2,1,3,1,2,3,5
8343,2,2,1,5,2,4,1,2
8344,1,1,1,2,1,1,5,1
8345,1,1,1,2,1,4,5,5
8346,1,1,6,5,NA,4,5,5
8347,1,1,1,1,1,3,2,5
8348,1,1,1,2,1,4,3,2
8349,1,1,1,1,1,4,1,5
8350,1,5,7,5,5,4,3,5
8351,NA,4,2,3,3,2,3,2
8352,1,4,2,3,3,1,3,3
8353,2,NA,1,1,1,1,1,2
8354,1,3,2,3,3,3,3,3
8355,1,2,1,2,1,2,1,4
8356,1,1,1,1,1,2,3,6
8357,2,1,1,1,1,4,5,4
8358,1,2,2,4,3,4,3,5
8359,1,1,1,1,1,3,3,6
8360,1,1,1,2,1,4,5,6
8361,1,4,2,4,3,2,3,5
8362,2,1,1,1,1,4,1,2
8363,1,1,1,1,1,2,2,1
8364,1,2,1,5,1,4,3,1
8365,1,1,1,1,1,4,4,3
8366,2,4,3,3,4,2,3,2
8367,1,3,2,5,3,2,3,3
8368,1,2,1,4,NA,2,4,5
8369,2,1,1,2,1,4,1,1
8370,1,1,1,2,1,2,3,2
8371,1,1,1,1,1,1,3,5
8372,1,2,3,3,4,2,2,3
8373,2,1,1,3,1,1,5,4
8374,1,1,1,1,1,4,4,3
8375,2,2,7,4,2,3,5,6
8376,2,1,1,2,1,3,4,4
8377,1,1,1,2,1,2,5,5
8378,1,4,7,5,3,4,3,2
8379,2,1,1,2,1,2,4,2
8380,1,1,1,2,1,2,1,1
8381,NA,3,3,4,NA,4,3,4
8382,2,1,1,1,1,3,3,2
8383,2,1,1,2,1,4,3,4
8384,1,2,1,3,1,4,2,4
8385,1,2,1,4,1,2,1,4
8386,1,1,1,1,1,2,5,2
8387,2,1,1,1,1,2,1,1
8388,1,NA,2,5,NA,3,4,5
8389,1,1,1,2,1,4,4,1
8390,1,1,1,2,5,3,5,5
8391,2,1,1,1,5,4,4,5
8392,1,2,1,2,1,4,3,1
8393,1,4,4,5,4,2,4,1
8394,2,1,1,3,1,4,3,2
8395,2,1,1,2,1,4,1,6
8396,1,2,3,3,4,3,2,2
8397,1,2,1,5,3,3,3,1
8398,2,3,6,3,1,4,1,2
8399,1,2,1,3,1,2,3,2
8400,1,3,2,1,3,1,2,6
8401,1,1,1,1,1,4,2,5
8402,1,1,1,2,1,4,2,3
8403,1,2,1,3,1,2,3,5
8404,2,1,1,5,1,2,1,5
8405,1,1,7,1,1,3,5,2
8406,2,1,1,2,1,4,5,3
8407,1,1,1,2,NA,2,3,5
8408,1,4,2,5,4,3,3,2
8409,1,5,7,5,5,4,3,3
8410,1,1,1,1,1,4,4,2
8411,1,1,1,2,1,2,3,1
8412,1,5,3,5,5,3,2,3
8413,1,1,1,1,3,1,5,5
8414,1,1,1,5,NA,2,1,5
8415,1,1,1,1,1,3,5,1
8416,1,1,1,1,1,2,2,5
8417,2,1,1,1,1,4,3,3
8418,1,2,1,3,1,4,2,5
8419,1,3,6,3,1,3,5,2
8420,NA,4,5,3,3,4,5,6
8421,2,1,1,1,1,2,3,6
8422,2,1,1,1,1,2,1,3
8423,2,1,1,1,1,3,5,5
8424,1,1,1,2,1,4,1,2
8425,1,1,1,1,1,2,2,5
8426,1,2,1,5,1,4,3,3
8427,1,1,1,1,NA,4,2,5
8428,1,3,2,4,4,2,3,1
8429,2,1,1,1,NA,4,1,1
8430,1,1,1,1,1,4,2,2
8431,1,3,2,5,3,3,3,3
8432,2,1,1,1,1,3,5,5
8433,2,2,1,5,1,3,1,2
8434,1,4,7,2,5,2,3,5
8435,2,3,5,3,3,4,1,2
8436,1,1,1,1,1,1,2,1
8437,2,1,1,1,1,2,1,1
8438,1,2,2,3,3,1,4,5
8439,1,2,1,3,1,4,3,3
8440,1,2,2,3,5,2,3,3
8441,1,1,1,2,3,4,3,2
8442,1,1,1,1,1,2,5,6
8443,1,2,1,3,2,4,5,2
8444,2,1,1,1,1,2,3,2
8445,1,1,1,1,1,4,5,5
8446,NA,2,1,3,1,4,5,2
8447,1,2,5,2,2,3,2,2
8448,1,3,2,4,5,2,3,4
8449,1,2,1,3,1,3,2,1
8450,2,4,2,4,3,2,3,3
8451,1,2,6,4,3,4,5,5
8452,2,2,1,5,1,4,1,2
8453,2,3,2,5,3,1,3,2
8454,2,4,6,3,1,3,1,3
8455,2,1,1,3,1,4,3,3
8456,2,3,1,5,1,1,2,2
8457,1,1,1,2,1,4,4,5
8458,1,2,1,4,1,1,2,5
8459,1,1,1,1,5,2,2,5
8460,1,1,1,2,1,2,1,1
8461,2,2,1,5,1,4,3,5
8462,NA,1,1,2,1,4,1,5
8463,2,1,1,1,1,2,4,2
8464,2,3,5,2,4,1,1,2
8465,1,1,4,3,4,2,3,5
8466,1,2,1,3,NA,2,2,1
8467,1,1,1,1,NA,4,5,2
8468,1,NA,7,1,1,4,1,4
8469,1,1,1,1,1,2,5,5
8470,1,1,1,3,1,4,2,5
8471,2,1,1,2,1,4,5,4
8472,1,1,1,2,1,4,3,5
8473,1,4,7,2,2,3,3,3
8474,1,1,1,1,1,4,2,5
8475,1,1,1,2,1,3,4,1
8476,1,3,2,4,3,2,2,4
8477,1,2,3,4,4,2,5,3
8478,1,1,1,1,1,3,4,4
8479,2,1,1,2,1,4,4,5
8480,2,2,1,5,1,4,4,4
8481,1,1,1,2,1,2,4,1
8482,1,2,1,4,3,4,2,4
8483,1,1,1,1,1,4,1,2
8484,1,1,1,2,1,2,2,4
8485,1,3,2,3,4,2,2,2
8486,1,2,1,3,1,3,2,5
8487,1,1,1,2,1,4,2,5
8488,1,1,1,2,1,1,3,2
8489,2,1,1,2,1,2,3,3
8490,2,NA,5,2,1,1,5,2
8491,1,3,7,2,4,1,4,1
8492,1,1,1,1,1,2,3,3
8493,1,1,1,2,2,4,5,5
8494,1,4,2,4,3,2,2,3
8495,2,1,1,1,1,4,1,2
8496,2,3,5,5,5,3,1,5
8497,1,1,1,2,1,2,3,4
8498,2,1,1,1,1,1,1,5
8499,2,2,1,5,1,2,1,3
8500,1,2,3,5,4,4,4,1
8501,1,2,1,2,2,1,2,3
8502,2,5,4,5,4,3,5,2
8503,1,1,1,2,1,3,1,5
8504,2,2,1,5,1,3,1,3
8505,NA,3,2,4,3,4,3,2
8506,NA,1,1,1,1,2,1,4
8507,2,3,6,3,4,1,3,3
8508,2,2,5,2,2,4,1,3
8509,2,1,1,1,1,2,1,6
8510,1,5,4,5,5,2,3,3
8511,2,1,1,2,1,4,3,3
8512,2,2,3,4,4,3,4,4
8513,1,NA,5,2,5,4,2,3
8514,1,1,1,2,1,4,3,3
8515,2,5,5,2,NA,2,1,1
8516,1,2,7,2,5,3,3,1
8517,1,1,1,1,1,2,4,1
8518,1,4,4,5,4,4,3,3
8519,1,4,2,4,3,2,2,3
8520,2,1,1,1,1,4,3,5
8521,1,1,2,4,4,4,2,4
8522,1,1,1,1,3,1,3,1
8523,1,1,1,1,1,1,5,5
8524,NA,2,4,4,3,2,4,3
8525,2,1,1,1,1,1,1,2
8526,1,4,4,4,3,2,3,2
8527,2,1,1,1,1,1,5,2
8528,1,2,1,5,1,2,2,6
8529,2,2,5,3,2,2,3,3
8530,1,1,1,2,1,3,3,5
8531,1,1,1,1,1,4,1,5
8532,2,1,1,3,1,4,3,2
8533,2,2,2,4,3,3,5,4
8534,1,1,1,2,1,4,4,4
8535,2,1,1,1,1,3,4,4
8536,1,1,1,2,1,2,3,5
8537,1,1,7,1,1,4,3,2
8538,2,2,1,5,1,2,1,4
8539,1,3,3,3,3,2,3,2
8540,1,1,1,1,1,2,3,5
8541,1,1,1,1,1,4,2,2
8542,1,2,2,1,4,4,1,3
8543,2,2,1,3,1,1,1,2
8544,2,1,1,1,1,3,5,6
8545,1,1,1,1,1,4,4,5
8546,1,4,4,5,5,4,1,3
8547,1,1,1,2,1,3,2,2
8548,1,1,1,2,1,4,2,1
8549,NA,1,1,1,1,4,5,5
8550,2,3,2,4,3,2,4,2
8551,NA,1,1,2,1,4,1,5
8552,1,2,6,2,1,3,3,3
8553,1,3,3,5,4,2,3,5
8554,2,4,2,3,3,3,3,3
8555,2,1,1,1,1,1,1,3
8556,2,1,1,1,1,4,2,3
8557,1,1,1,1,1,4,3,2
8558,1,1,1,1,1,3,5,5
8559,1,2,7,3,2,1,5,3
8560,1,1,1,1,1,2,5,3
8561,1,5,2,3,3,3,3,2
8562,2,2,3,5,3,4,1,6
8563,1,1,1,1,1,2,5,1
8564,2,2,1,4,1,4,1,3
8565,NA,1,1,1,1,2,4,1
8566,1,3,7,4,3,3,3,2
8567,1,1,1,1,1,3,5,3
8568,1,1,1,3,1,2,5,5
8569,NA,1,1,2,1,2,1,3
8570,1,1,1,1,1,4,5,1
8571,1,4,5,3,3,2,3,2
8572,2,5,5,3,2,1,3,3
8573,2,5,7,5,1,2,5,5
8574,1,3,2,2,3,3,1,3
8575,1,1,1,1,1,1,1,1
8576,2,1,1,1,1,4,1,5
8577,1,3,2,5,3,2,3,2
8578,1,3,1,5,3,3,3,3
8579,1,1,1,1,1,2,2,2
